Title,Company,Reward,Url
FrontEnd 개발자(5년차 이상) - react / next.js 기반,시제(모노리스),합격보상금 100만원,https://www.wanted.co.kr$/wd/207457
"프론트엔드 개발(React/Next.js, 온보딩 지원 콘솔 외)",위메이드(WEMADE),합격보상금 100만원,https://www.wanted.co.kr$/wd/205985
프론트엔드 웹 개발자 React.js / Next.js (3~5년),클라우드호스피탈,합격보상금 100만원,https://www.wanted.co.kr$/wd/207121
프론트엔드(React/Next.js) 개발자,밴플,합격보상금 100만원,https://www.wanted.co.kr$/wd/204299
프론트엔드 개발자 (React / Next.js),선한사람들,합격보상금 100만원,https://www.wanted.co.kr$/wd/190351
서비스 프론트엔드 개발자 (Next.js 14),에이미랩스,합격보상금 100만원,https://www.wanted.co.kr$/wd/101827
"Global 서비스 Front-end 개발 (React, Next.js)",아프리카TV,합격보상금 100만원,https://www.wanted.co.kr$/wd/126671
"[400억↑투자] Back-end 개발자 (Node.js, React, Express, Next.js), 병특",딥브레인에이아이,합격보상금 100만원,https://www.wanted.co.kr$/wd/107946
FrontEnd 개발자(5년차 이상) - react / next.js 기반,시제(모노리스),합격보상금 100만원,https://www.wanted.co.kr$/wd/207457
"프론트엔드 개발(React/Next.js, 온보딩 지원 콘솔 외)",위메이드(WEMADE),합격보상금 100만원,https://www.wanted.co.kr$/wd/205985
프론트엔드 웹 개발자 React.js / Next.js (3~5년),클라우드호스피탈,합격보상금 100만원,https://www.wanted.co.kr$/wd/207121
프론트엔드(React/Next.js) 개발자,밴플,합격보상금 100만원,https://www.wanted.co.kr$/wd/204299
프론트엔드 개발자 (React / Next.js),선한사람들,합격보상금 100만원,https://www.wanted.co.kr$/wd/190351
서비스 프론트엔드 개발자 (Next.js 14),에이미랩스,합격보상금 100만원,https://www.wanted.co.kr$/wd/101827
"Global 서비스 Front-end 개발 (React, Next.js)",아프리카TV,합격보상금 100만원,https://www.wanted.co.kr$/wd/126671
"[400억↑투자] Back-end 개발자 (Node.js, React, Express, Next.js), 병특",딥브레인에이아이,합격보상금 100만원,https://www.wanted.co.kr$/wd/107946
